,target
3597,neutral or dissatisfied
3598,satisfied
3599,satisfied
3600,satisfied
3601,neutral or dissatisfied
3602,neutral or dissatisfied
3603,satisfied
3604,satisfied
3605,neutral or dissatisfied
3606,satisfied
3607,satisfied
3608,neutral or dissatisfied
3609,neutral or dissatisfied
3610,satisfied
3611,neutral or dissatisfied
3612,neutral or dissatisfied
3613,neutral or dissatisfied
3614,satisfied
3615,satisfied
3616,neutral or dissatisfied
3617,satisfied
3618,satisfied
3619,neutral or dissatisfied
3620,satisfied
3621,neutral or dissatisfied
3622,satisfied
3623,neutral or dissatisfied
3624,neutral or dissatisfied
3625,neutral or dissatisfied
3626,satisfied
3627,satisfied
3628,neutral or dissatisfied
3629,satisfied
3630,neutral or dissatisfied
3631,neutral or dissatisfied
3632,satisfied
3633,neutral or dissatisfied
3634,neutral or dissatisfied
3635,neutral or dissatisfied
3636,satisfied
3637,satisfied
3638,neutral or dissatisfied
3639,satisfied
3640,neutral or dissatisfied
3641,neutral or dissatisfied
3642,satisfied
3643,satisfied
3644,satisfied
3645,satisfied
3646,satisfied
3647,satisfied
3648,neutral or dissatisfied
3649,satisfied
3650,neutral or dissatisfied
3651,neutral or dissatisfied
3652,satisfied
3653,neutral or dissatisfied
3654,satisfied
3655,neutral or dissatisfied
3656,neutral or dissatisfied
3657,satisfied
3658,neutral or dissatisfied
3659,neutral or dissatisfied
3660,neutral or dissatisfied
3661,neutral or dissatisfied
3662,neutral or dissatisfied
3663,neutral or dissatisfied
3664,neutral or dissatisfied
3665,satisfied
3666,neutral or dissatisfied
3667,neutral or dissatisfied
3668,satisfied
3669,neutral or dissatisfied
3670,neutral or dissatisfied
3671,neutral or dissatisfied
3672,satisfied
3673,neutral or dissatisfied
3674,satisfied
3675,neutral or dissatisfied
3676,neutral or dissatisfied
3677,neutral or dissatisfied
3678,satisfied
3679,satisfied
3680,satisfied
3681,neutral or dissatisfied
3682,neutral or dissatisfied
3683,neutral or dissatisfied
3684,neutral or dissatisfied
3685,neutral or dissatisfied
3686,neutral or dissatisfied
3687,satisfied
3688,neutral or dissatisfied
3689,neutral or dissatisfied
3690,neutral or dissatisfied
3691,neutral or dissatisfied
3692,neutral or dissatisfied
3693,satisfied
3694,satisfied
3695,satisfied
3696,neutral or dissatisfied
3697,neutral or dissatisfied
3698,satisfied
3699,satisfied
3700,satisfied
3701,satisfied
3702,satisfied
3703,neutral or dissatisfied
3704,neutral or dissatisfied
3705,satisfied
3706,neutral or dissatisfied
3707,satisfied
3708,neutral or dissatisfied
3709,neutral or dissatisfied
3710,neutral or dissatisfied
3711,neutral or dissatisfied
3712,neutral or dissatisfied
3713,satisfied
3714,neutral or dissatisfied
3715,satisfied
3716,satisfied
3717,satisfied
3718,neutral or dissatisfied
3719,neutral or dissatisfied
3720,neutral or dissatisfied
3721,neutral or dissatisfied
3722,satisfied
3723,satisfied
3724,neutral or dissatisfied
3725,satisfied
3726,satisfied
3727,satisfied
3728,satisfied
3729,satisfied
3730,neutral or dissatisfied
3731,neutral or dissatisfied
3732,neutral or dissatisfied
3733,satisfied
3734,neutral or dissatisfied
3735,neutral or dissatisfied
3736,neutral or dissatisfied
3737,neutral or dissatisfied
3738,neutral or dissatisfied
3739,satisfied
3740,neutral or dissatisfied
3741,satisfied
3742,satisfied
3743,neutral or dissatisfied
3744,satisfied
3745,satisfied
3746,neutral or dissatisfied
3747,neutral or dissatisfied
3748,neutral or dissatisfied
3749,neutral or dissatisfied
3750,neutral or dissatisfied
3751,satisfied
3752,satisfied
3753,neutral or dissatisfied
3754,satisfied
3755,neutral or dissatisfied
3756,neutral or dissatisfied
3757,neutral or dissatisfied
3758,neutral or dissatisfied
3759,neutral or dissatisfied
3760,neutral or dissatisfied
3761,neutral or dissatisfied
3762,satisfied
3763,satisfied
3764,neutral or dissatisfied
3765,neutral or dissatisfied
3766,satisfied
3767,satisfied
3768,satisfied
3769,neutral or dissatisfied
3770,neutral or dissatisfied
3771,neutral or dissatisfied
3772,satisfied
3773,satisfied
3774,neutral or dissatisfied
3775,neutral or dissatisfied
3776,satisfied
3777,neutral or dissatisfied
3778,satisfied
3779,neutral or dissatisfied
3780,satisfied
3781,satisfied
3782,neutral or dissatisfied
3783,neutral or dissatisfied
3784,neutral or dissatisfied
3785,satisfied
3786,satisfied
3787,neutral or dissatisfied
3788,satisfied
3789,satisfied
3790,satisfied
3791,neutral or dissatisfied
3792,satisfied
3793,neutral or dissatisfied
3794,neutral or dissatisfied
3795,neutral or dissatisfied
3796,satisfied
3797,neutral or dissatisfied
3798,satisfied
3799,neutral or dissatisfied
3800,satisfied
3801,neutral or dissatisfied
3802,satisfied
3803,satisfied
3804,neutral or dissatisfied
3805,satisfied
3806,neutral or dissatisfied
3807,satisfied
3808,satisfied
3809,neutral or dissatisfied
3810,neutral or dissatisfied
3811,neutral or dissatisfied
3812,neutral or dissatisfied
3813,neutral or dissatisfied
3814,neutral or dissatisfied
3815,satisfied
3816,neutral or dissatisfied
3817,satisfied
3818,satisfied
3819,satisfied
3820,neutral or dissatisfied
3821,satisfied
3822,neutral or dissatisfied
3823,satisfied
3824,neutral or dissatisfied
3825,neutral or dissatisfied
3826,satisfied
3827,neutral or dissatisfied
3828,satisfied
3829,satisfied
3830,neutral or dissatisfied
3831,satisfied
3832,neutral or dissatisfied
3833,neutral or dissatisfied
3834,neutral or dissatisfied
3835,neutral or dissatisfied
3836,neutral or dissatisfied
3837,neutral or dissatisfied
3838,neutral or dissatisfied
3839,neutral or dissatisfied
3840,satisfied
3841,neutral or dissatisfied
3842,neutral or dissatisfied
3843,neutral or dissatisfied
3844,satisfied
3845,neutral or dissatisfied
3846,satisfied
3847,neutral or dissatisfied
3848,satisfied
3849,neutral or dissatisfied
3850,satisfied
3851,satisfied
3852,neutral or dissatisfied
3853,neutral or dissatisfied
3854,neutral or dissatisfied
3855,satisfied
3856,neutral or dissatisfied
3857,satisfied
3858,satisfied
3859,satisfied
3860,satisfied
3861,satisfied
3862,neutral or dissatisfied
3863,neutral or dissatisfied
3864,satisfied
3865,neutral or dissatisfied
3866,satisfied
3867,neutral or dissatisfied
3868,satisfied
3869,satisfied
3870,neutral or dissatisfied
3871,satisfied
3872,satisfied
3873,satisfied
3874,neutral or dissatisfied
3875,neutral or dissatisfied
3876,neutral or dissatisfied
3877,satisfied
3878,neutral or dissatisfied
3879,neutral or dissatisfied
3880,satisfied
3881,satisfied
3882,satisfied
3883,neutral or dissatisfied
3884,satisfied
3885,neutral or dissatisfied
3886,satisfied
3887,neutral or dissatisfied
3888,neutral or dissatisfied
3889,neutral or dissatisfied
3890,neutral or dissatisfied
3891,satisfied
3892,neutral or dissatisfied
3893,neutral or dissatisfied
3894,neutral or dissatisfied
3895,neutral or dissatisfied
3896,satisfied
3897,satisfied
3898,satisfied
3899,neutral or dissatisfied
3900,satisfied
3901,satisfied
3902,neutral or dissatisfied
3903,neutral or dissatisfied
3904,neutral or dissatisfied
3905,satisfied
3906,neutral or dissatisfied
3907,satisfied
3908,satisfied
3909,satisfied
3910,neutral or dissatisfied
3911,satisfied
3912,neutral or dissatisfied
3913,satisfied
3914,neutral or dissatisfied
3915,satisfied
3916,satisfied
3917,satisfied
3918,satisfied
3919,neutral or dissatisfied
3920,satisfied
3921,satisfied
3922,neutral or dissatisfied
3923,neutral or dissatisfied
3924,neutral or dissatisfied
3925,neutral or dissatisfied
3926,neutral or dissatisfied
3927,satisfied
3928,satisfied
3929,satisfied
3930,neutral or dissatisfied
3931,satisfied
3932,neutral or dissatisfied
3933,satisfied
3934,neutral or dissatisfied
3935,neutral or dissatisfied
3936,satisfied
3937,neutral or dissatisfied
3938,neutral or dissatisfied
3939,neutral or dissatisfied
3940,satisfied
3941,satisfied
3942,neutral or dissatisfied
3943,satisfied
3944,satisfied
3945,neutral or dissatisfied
3946,neutral or dissatisfied
3947,neutral or dissatisfied
3948,satisfied
3949,neutral or dissatisfied
3950,neutral or dissatisfied
3951,neutral or dissatisfied
3952,satisfied
3953,satisfied
3954,neutral or dissatisfied
3955,neutral or dissatisfied
3956,satisfied
3957,satisfied
3958,neutral or dissatisfied
3959,satisfied
3960,neutral or dissatisfied
3961,neutral or dissatisfied
3962,satisfied
3963,satisfied
3964,neutral or dissatisfied
3965,neutral or dissatisfied
3966,satisfied
3967,neutral or dissatisfied
3968,neutral or dissatisfied
3969,neutral or dissatisfied
3970,neutral or dissatisfied
3971,satisfied
3972,satisfied
3973,satisfied
3974,neutral or dissatisfied
3975,neutral or dissatisfied
3976,satisfied
3977,satisfied
3978,satisfied
3979,neutral or dissatisfied
3980,satisfied
3981,satisfied
3982,satisfied
3983,neutral or dissatisfied
3984,neutral or dissatisfied
3985,neutral or dissatisfied
3986,neutral or dissatisfied
3987,neutral or dissatisfied
3988,satisfied
3989,neutral or dissatisfied
3990,neutral or dissatisfied
3991,satisfied
3992,satisfied
3993,neutral or dissatisfied
3994,neutral or dissatisfied
3995,satisfied
3996,neutral or dissatisfied
3997,satisfied
3998,satisfied
3999,satisfied
4000,neutral or dissatisfied
4001,neutral or dissatisfied
4002,neutral or dissatisfied
4003,neutral or dissatisfied
4004,neutral or dissatisfied
4005,satisfied
4006,neutral or dissatisfied
4007,neutral or dissatisfied
4008,neutral or dissatisfied
4009,satisfied
4010,satisfied
4011,satisfied
4012,satisfied
4013,satisfied
4014,satisfied
4015,satisfied
4016,neutral or dissatisfied
4017,satisfied
4018,neutral or dissatisfied
4019,neutral or dissatisfied
4020,neutral or dissatisfied
4021,neutral or dissatisfied
4022,satisfied
4023,satisfied
4024,neutral or dissatisfied
4025,satisfied
4026,satisfied
4027,satisfied
4028,neutral or dissatisfied
4029,satisfied
4030,satisfied
4031,neutral or dissatisfied
4032,neutral or dissatisfied
4033,neutral or dissatisfied
4034,neutral or dissatisfied
4035,neutral or dissatisfied
4036,neutral or dissatisfied
4037,satisfied
4038,neutral or dissatisfied
4039,neutral or dissatisfied
4040,satisfied
4041,neutral or dissatisfied
4042,neutral or dissatisfied
4043,neutral or dissatisfied
4044,satisfied
4045,satisfied
4046,neutral or dissatisfied
4047,satisfied
4048,neutral or dissatisfied
4049,satisfied
4050,satisfied
4051,satisfied
4052,satisfied
4053,neutral or dissatisfied
4054,satisfied
4055,satisfied
4056,satisfied
4057,neutral or dissatisfied
4058,neutral or dissatisfied
4059,neutral or dissatisfied
4060,neutral or dissatisfied
4061,satisfied
4062,neutral or dissatisfied
4063,satisfied
4064,neutral or dissatisfied
4065,satisfied
4066,satisfied
4067,neutral or dissatisfied
4068,satisfied
4069,satisfied
4070,satisfied
4071,neutral or dissatisfied
4072,neutral or dissatisfied
4073,neutral or dissatisfied
4074,neutral or dissatisfied
4075,neutral or dissatisfied
4076,satisfied
4077,neutral or dissatisfied
4078,satisfied
4079,neutral or dissatisfied
4080,neutral or dissatisfied
4081,neutral or dissatisfied
4082,satisfied
4083,neutral or dissatisfied
4084,neutral or dissatisfied
4085,satisfied
4086,neutral or dissatisfied
4087,satisfied
4088,satisfied
4089,neutral or dissatisfied
4090,neutral or dissatisfied
4091,neutral or dissatisfied
4092,satisfied
4093,neutral or dissatisfied
4094,neutral or dissatisfied
4095,neutral or dissatisfied
4096,satisfied
4097,neutral or dissatisfied
4098,satisfied
4099,satisfied
4100,neutral or dissatisfied
4101,satisfied
4102,neutral or dissatisfied
4103,satisfied
4104,neutral or dissatisfied
4105,neutral or dissatisfied
4106,neutral or dissatisfied
4107,satisfied
4108,neutral or dissatisfied
4109,satisfied
4110,neutral or dissatisfied
4111,neutral or dissatisfied
4112,satisfied
4113,satisfied
4114,satisfied
4115,neutral or dissatisfied
4116,neutral or dissatisfied
4117,neutral or dissatisfied
4118,satisfied
4119,neutral or dissatisfied
4120,neutral or dissatisfied
4121,neutral or dissatisfied
4122,neutral or dissatisfied
4123,neutral or dissatisfied
4124,neutral or dissatisfied
4125,satisfied
4126,neutral or dissatisfied
4127,satisfied
4128,satisfied
4129,neutral or dissatisfied
4130,satisfied
4131,satisfied
4132,neutral or dissatisfied
4133,neutral or dissatisfied
4134,neutral or dissatisfied
4135,neutral or dissatisfied
4136,satisfied
4137,satisfied
4138,satisfied
4139,neutral or dissatisfied
4140,satisfied
4141,satisfied
4142,neutral or dissatisfied
4143,neutral or dissatisfied
4144,neutral or dissatisfied
4145,neutral or dissatisfied
4146,neutral or dissatisfied
4147,satisfied
4148,neutral or dissatisfied
4149,neutral or dissatisfied
4150,satisfied
4151,neutral or dissatisfied
4152,satisfied
4153,satisfied
4154,satisfied
4155,satisfied
4156,satisfied
4157,neutral or dissatisfied
4158,satisfied
4159,satisfied
4160,satisfied
4161,satisfied
4162,satisfied
4163,satisfied
4164,neutral or dissatisfied
4165,neutral or dissatisfied
4166,neutral or dissatisfied
4167,neutral or dissatisfied
4168,neutral or dissatisfied
4169,satisfied
4170,neutral or dissatisfied
4171,satisfied
4172,neutral or dissatisfied
4173,neutral or dissatisfied
4174,satisfied
4175,neutral or dissatisfied
4176,neutral or dissatisfied
4177,satisfied
4178,satisfied
4179,satisfied
4180,neutral or dissatisfied
4181,neutral or dissatisfied
4182,neutral or dissatisfied
4183,satisfied
4184,satisfied
4185,neutral or dissatisfied
4186,satisfied
4187,neutral or dissatisfied
4188,satisfied
4189,satisfied
4190,neutral or dissatisfied
4191,neutral or dissatisfied
4192,neutral or dissatisfied
4193,neutral or dissatisfied
4194,neutral or dissatisfied
4195,neutral or dissatisfied
4196,neutral or dissatisfied
4197,neutral or dissatisfied
4198,neutral or dissatisfied
4199,neutral or dissatisfied
4200,satisfied
4201,satisfied
4202,neutral or dissatisfied
4203,satisfied
4204,satisfied
4205,neutral or dissatisfied
4206,neutral or dissatisfied
4207,satisfied
4208,satisfied
4209,neutral or dissatisfied
4210,satisfied
4211,neutral or dissatisfied
4212,satisfied
4213,satisfied
4214,neutral or dissatisfied
4215,neutral or dissatisfied
4216,neutral or dissatisfied
4217,satisfied
4218,neutral or dissatisfied
4219,neutral or dissatisfied
4220,satisfied
4221,neutral or dissatisfied
4222,satisfied
4223,neutral or dissatisfied
4224,neutral or dissatisfied
4225,neutral or dissatisfied
4226,neutral or dissatisfied
4227,satisfied
4228,satisfied
4229,satisfied
4230,satisfied
4231,neutral or dissatisfied
4232,neutral or dissatisfied
4233,satisfied
4234,neutral or dissatisfied
4235,satisfied
4236,satisfied
4237,neutral or dissatisfied
4238,neutral or dissatisfied
4239,neutral or dissatisfied
4240,neutral or dissatisfied
4241,satisfied
4242,neutral or dissatisfied
4243,neutral or dissatisfied
4244,neutral or dissatisfied
4245,neutral or dissatisfied
4246,satisfied
4247,satisfied
4248,neutral or dissatisfied
4249,satisfied
4250,satisfied
4251,neutral or dissatisfied
4252,neutral or dissatisfied
4253,neutral or dissatisfied
4254,neutral or dissatisfied
4255,neutral or dissatisfied
4256,neutral or dissatisfied
4257,neutral or dissatisfied
4258,satisfied
4259,neutral or dissatisfied
4260,neutral or dissatisfied
4261,satisfied
4262,neutral or dissatisfied
4263,satisfied
4264,neutral or dissatisfied
4265,satisfied
4266,satisfied
4267,neutral or dissatisfied
4268,neutral or dissatisfied
4269,satisfied
4270,satisfied
4271,neutral or dissatisfied
4272,neutral or dissatisfied
4273,satisfied
4274,neutral or dissatisfied
4275,satisfied
4276,satisfied
4277,neutral or dissatisfied
4278,satisfied
4279,neutral or dissatisfied
4280,neutral or dissatisfied
4281,satisfied
4282,neutral or dissatisfied
4283,neutral or dissatisfied
4284,neutral or dissatisfied
4285,satisfied
4286,neutral or dissatisfied
4287,satisfied
4288,neutral or dissatisfied
4289,satisfied
4290,neutral or dissatisfied
4291,satisfied
4292,satisfied
4293,satisfied
4294,neutral or dissatisfied
4295,neutral or dissatisfied
4296,satisfied
4297,satisfied
4298,neutral or dissatisfied
4299,neutral or dissatisfied
4300,neutral or dissatisfied
4301,neutral or dissatisfied
4302,satisfied
4303,neutral or dissatisfied
4304,neutral or dissatisfied
4305,neutral or dissatisfied
4306,satisfied
4307,neutral or dissatisfied
4308,neutral or dissatisfied
4309,satisfied
4310,neutral or dissatisfied
4311,satisfied
4312,satisfied
4313,satisfied
4314,satisfied
4315,neutral or dissatisfied
4316,neutral or dissatisfied
4317,neutral or dissatisfied
4318,neutral or dissatisfied
4319,satisfied
4320,neutral or dissatisfied
4321,satisfied
4322,neutral or dissatisfied
4323,satisfied
4324,satisfied
4325,neutral or dissatisfied
4326,neutral or dissatisfied
4327,satisfied
4328,satisfied
4329,neutral or dissatisfied
4330,neutral or dissatisfied
4331,neutral or dissatisfied
4332,neutral or dissatisfied
4333,neutral or dissatisfied
4334,neutral or dissatisfied
4335,neutral or dissatisfied
4336,neutral or dissatisfied
4337,satisfied
4338,neutral or dissatisfied
4339,satisfied
4340,satisfied
4341,neutral or dissatisfied
4342,neutral or dissatisfied
4343,neutral or dissatisfied
4344,satisfied
4345,neutral or dissatisfied
4346,neutral or dissatisfied
4347,satisfied
4348,satisfied
4349,neutral or dissatisfied
4350,satisfied
4351,satisfied
4352,neutral or dissatisfied
4353,satisfied
4354,neutral or dissatisfied
4355,satisfied
4356,neutral or dissatisfied
4357,neutral or dissatisfied
4358,satisfied
4359,neutral or dissatisfied
4360,neutral or dissatisfied
4361,satisfied
4362,satisfied
4363,neutral or dissatisfied
4364,satisfied
4365,neutral or dissatisfied
4366,satisfied
4367,satisfied
4368,neutral or dissatisfied
4369,satisfied
4370,satisfied
4371,neutral or dissatisfied
4372,neutral or dissatisfied
4373,neutral or dissatisfied
4374,satisfied
4375,satisfied
4376,neutral or dissatisfied
4377,neutral or dissatisfied
4378,satisfied
4379,satisfied
4380,satisfied
4381,neutral or dissatisfied
4382,neutral or dissatisfied
4383,neutral or dissatisfied
4384,neutral or dissatisfied
4385,satisfied
4386,neutral or dissatisfied
4387,neutral or dissatisfied
4388,neutral or dissatisfied
4389,satisfied
4390,neutral or dissatisfied
4391,satisfied
4392,satisfied
4393,neutral or dissatisfied
4394,neutral or dissatisfied
4395,neutral or dissatisfied
4396,neutral or dissatisfied
4397,satisfied
4398,neutral or dissatisfied
4399,neutral or dissatisfied
4400,neutral or dissatisfied
4401,neutral or dissatisfied
4402,satisfied
4403,satisfied
4404,neutral or dissatisfied
4405,satisfied
4406,neutral or dissatisfied
4407,satisfied
4408,neutral or dissatisfied
4409,neutral or dissatisfied
4410,neutral or dissatisfied
4411,satisfied
4412,satisfied
4413,neutral or dissatisfied
4414,neutral or dissatisfied
4415,neutral or dissatisfied
4416,satisfied
4417,satisfied
4418,neutral or dissatisfied
4419,satisfied
4420,satisfied
4421,neutral or dissatisfied
4422,neutral or dissatisfied
4423,neutral or dissatisfied
4424,satisfied
4425,satisfied
4426,neutral or dissatisfied
4427,satisfied
4428,neutral or dissatisfied
4429,satisfied
4430,neutral or dissatisfied
4431,neutral or dissatisfied
4432,neutral or dissatisfied
4433,satisfied
4434,neutral or dissatisfied
4435,satisfied
4436,neutral or dissatisfied
4437,neutral or dissatisfied
4438,satisfied
4439,satisfied
4440,satisfied
4441,neutral or dissatisfied
4442,neutral or dissatisfied
4443,satisfied
4444,satisfied
4445,neutral or dissatisfied
4446,neutral or dissatisfied
4447,neutral or dissatisfied
4448,neutral or dissatisfied
4449,satisfied
4450,neutral or dissatisfied
4451,neutral or dissatisfied
4452,neutral or dissatisfied
4453,satisfied
4454,satisfied
4455,satisfied
4456,neutral or dissatisfied
4457,neutral or dissatisfied
4458,satisfied
4459,neutral or dissatisfied
4460,satisfied
4461,neutral or dissatisfied
4462,satisfied
4463,neutral or dissatisfied
4464,neutral or dissatisfied
4465,satisfied
4466,neutral or dissatisfied
4467,satisfied
4468,neutral or dissatisfied
4469,neutral or dissatisfied
4470,neutral or dissatisfied
4471,satisfied
4472,neutral or dissatisfied
4473,neutral or dissatisfied
4474,satisfied
4475,satisfied
4476,neutral or dissatisfied
4477,neutral or dissatisfied
4478,neutral or dissatisfied
4479,neutral or dissatisfied
4480,satisfied
4481,satisfied
4482,satisfied
4483,neutral or dissatisfied
4484,neutral or dissatisfied
4485,neutral or dissatisfied
4486,satisfied
4487,neutral or dissatisfied
4488,neutral or dissatisfied
4489,neutral or dissatisfied
4490,satisfied
4491,satisfied
4492,satisfied
4493,satisfied
4494,satisfied
4495,satisfied
4496,neutral or dissatisfied
4497,neutral or dissatisfied
4498,satisfied
4499,neutral or dissatisfied
4500,neutral or dissatisfied
4501,neutral or dissatisfied
4502,satisfied
4503,satisfied
4504,satisfied
4505,neutral or dissatisfied
4506,neutral or dissatisfied
4507,neutral or dissatisfied
4508,satisfied
4509,satisfied
4510,neutral or dissatisfied
4511,neutral or dissatisfied
4512,neutral or dissatisfied
4513,satisfied
4514,neutral or dissatisfied
4515,satisfied
4516,neutral or dissatisfied
4517,satisfied
4518,satisfied
4519,neutral or dissatisfied
4520,neutral or dissatisfied
4521,satisfied
4522,neutral or dissatisfied
4523,neutral or dissatisfied
4524,satisfied
4525,satisfied
4526,neutral or dissatisfied
4527,neutral or dissatisfied
4528,satisfied
4529,satisfied
4530,neutral or dissatisfied
4531,neutral or dissatisfied
4532,satisfied
4533,neutral or dissatisfied
4534,neutral or dissatisfied
4535,satisfied
4536,neutral or dissatisfied
4537,satisfied
4538,neutral or dissatisfied
4539,satisfied
4540,neutral or dissatisfied
4541,satisfied
4542,neutral or dissatisfied
4543,neutral or dissatisfied
4544,neutral or dissatisfied
4545,neutral or dissatisfied
4546,neutral or dissatisfied
4547,neutral or dissatisfied
4548,satisfied
4549,neutral or dissatisfied
4550,neutral or dissatisfied
4551,neutral or dissatisfied
4552,satisfied
4553,satisfied
4554,neutral or dissatisfied
4555,neutral or dissatisfied
4556,satisfied
4557,satisfied
4558,neutral or dissatisfied
4559,satisfied
4560,neutral or dissatisfied
4561,satisfied
4562,satisfied
4563,neutral or dissatisfied
4564,satisfied
4565,satisfied
4566,satisfied
4567,satisfied
4568,satisfied
4569,satisfied
4570,satisfied
4571,neutral or dissatisfied
4572,neutral or dissatisfied
4573,neutral or dissatisfied
4574,satisfied
4575,neutral or dissatisfied
4576,neutral or dissatisfied
4577,satisfied
4578,neutral or dissatisfied
4579,satisfied
4580,satisfied
4581,neutral or dissatisfied
4582,satisfied
4583,satisfied
4584,satisfied
4585,satisfied
4586,neutral or dissatisfied
4587,satisfied
4588,neutral or dissatisfied
4589,satisfied
4590,satisfied
4591,neutral or dissatisfied
4592,neutral or dissatisfied
4593,satisfied
4594,satisfied
4595,neutral or dissatisfied
4596,neutral or dissatisfied
4597,neutral or dissatisfied
4598,satisfied
4599,neutral or dissatisfied
4600,satisfied
4601,satisfied
4602,satisfied
4603,neutral or dissatisfied
4604,satisfied
4605,neutral or dissatisfied
4606,neutral or dissatisfied
4607,neutral or dissatisfied
4608,satisfied
4609,satisfied
4610,neutral or dissatisfied
4611,satisfied
4612,neutral or dissatisfied
4613,satisfied
4614,neutral or dissatisfied
4615,satisfied
4616,neutral or dissatisfied
4617,satisfied
4618,neutral or dissatisfied
4619,neutral or dissatisfied
4620,satisfied
4621,satisfied
4622,neutral or dissatisfied
4623,satisfied
4624,satisfied
4625,neutral or dissatisfied
4626,neutral or dissatisfied
4627,neutral or dissatisfied
4628,satisfied
4629,neutral or dissatisfied
4630,neutral or dissatisfied
4631,neutral or dissatisfied
4632,neutral or dissatisfied
4633,satisfied
4634,satisfied
4635,neutral or dissatisfied
4636,satisfied
4637,neutral or dissatisfied
4638,satisfied
4639,neutral or dissatisfied
4640,satisfied
4641,neutral or dissatisfied
4642,satisfied
4643,satisfied
4644,neutral or dissatisfied
4645,neutral or dissatisfied
4646,neutral or dissatisfied
4647,neutral or dissatisfied
4648,satisfied
4649,neutral or dissatisfied
4650,satisfied
4651,neutral or dissatisfied
4652,neutral or dissatisfied
4653,satisfied
4654,neutral or dissatisfied
4655,satisfied
4656,neutral or dissatisfied
4657,satisfied
4658,neutral or dissatisfied
4659,neutral or dissatisfied
4660,satisfied
4661,neutral or dissatisfied
4662,neutral or dissatisfied
4663,neutral or dissatisfied
4664,satisfied
4665,satisfied
4666,satisfied
4667,neutral or dissatisfied
4668,satisfied
4669,neutral or dissatisfied
4670,satisfied
4671,satisfied
4672,satisfied
4673,neutral or dissatisfied
4674,neutral or dissatisfied
4675,satisfied
4676,satisfied
4677,neutral or dissatisfied
4678,satisfied
4679,satisfied
4680,neutral or dissatisfied
4681,neutral or dissatisfied
4682,neutral or dissatisfied
4683,neutral or dissatisfied
4684,neutral or dissatisfied
4685,satisfied
4686,satisfied
4687,neutral or dissatisfied
4688,neutral or dissatisfied
4689,neutral or dissatisfied
4690,neutral or dissatisfied
4691,neutral or dissatisfied
4692,neutral or dissatisfied
4693,satisfied
4694,satisfied
4695,satisfied
4696,satisfied
4697,neutral or dissatisfied
4698,satisfied
4699,neutral or dissatisfied
4700,satisfied
4701,neutral or dissatisfied
4702,neutral or dissatisfied
4703,satisfied
4704,satisfied
4705,satisfied
4706,neutral or dissatisfied
4707,satisfied
4708,neutral or dissatisfied
4709,satisfied
4710,satisfied
4711,satisfied
4712,neutral or dissatisfied
4713,neutral or dissatisfied
4714,satisfied
4715,satisfied
4716,satisfied
4717,satisfied
4718,satisfied
4719,neutral or dissatisfied
4720,neutral or dissatisfied
4721,neutral or dissatisfied
4722,neutral or dissatisfied
4723,satisfied
4724,neutral or dissatisfied
4725,satisfied
4726,satisfied
4727,satisfied
4728,neutral or dissatisfied
4729,neutral or dissatisfied
4730,neutral or dissatisfied
4731,neutral or dissatisfied
4732,neutral or dissatisfied
4733,satisfied
4734,satisfied
4735,satisfied
4736,neutral or dissatisfied
4737,satisfied
4738,neutral or dissatisfied
4739,neutral or dissatisfied
4740,neutral or dissatisfied
4741,neutral or dissatisfied
4742,neutral or dissatisfied
4743,neutral or dissatisfied
4744,satisfied
4745,neutral or dissatisfied
4746,neutral or dissatisfied
4747,neutral or dissatisfied
4748,neutral or dissatisfied
4749,neutral or dissatisfied
4750,neutral or dissatisfied
4751,neutral or dissatisfied
4752,neutral or dissatisfied
4753,neutral or dissatisfied
4754,neutral or dissatisfied
4755,neutral or dissatisfied
4756,neutral or dissatisfied
4757,satisfied
4758,satisfied
4759,neutral or dissatisfied
4760,satisfied
4761,neutral or dissatisfied
4762,satisfied
4763,satisfied
4764,satisfied
4765,satisfied
4766,neutral or dissatisfied
4767,satisfied
4768,neutral or dissatisfied
4769,neutral or dissatisfied
4770,neutral or dissatisfied
4771,neutral or dissatisfied
4772,neutral or dissatisfied
4773,neutral or dissatisfied
4774,satisfied
4775,neutral or dissatisfied
4776,neutral or dissatisfied
4777,neutral or dissatisfied
4778,neutral or dissatisfied
4779,neutral or dissatisfied
4780,satisfied
4781,neutral or dissatisfied
4782,satisfied
4783,neutral or dissatisfied
4784,neutral or dissatisfied
4785,neutral or dissatisfied
4786,satisfied
4787,neutral or dissatisfied
4788,neutral or dissatisfied
4789,neutral or dissatisfied
4790,neutral or dissatisfied
4791,neutral or dissatisfied
4792,neutral or dissatisfied
4793,satisfied
4794,neutral or dissatisfied
4795,neutral or dissatisfied
4796,neutral or dissatisfied
4797,satisfied
4798,satisfied
4799,neutral or dissatisfied
4800,neutral or dissatisfied
4801,neutral or dissatisfied
4802,neutral or dissatisfied
4803,satisfied
4804,satisfied
4805,satisfied
4806,satisfied
4807,neutral or dissatisfied
4808,neutral or dissatisfied
4809,satisfied
4810,satisfied
4811,satisfied
4812,neutral or dissatisfied
4813,neutral or dissatisfied
4814,neutral or dissatisfied
4815,neutral or dissatisfied
4816,neutral or dissatisfied
4817,neutral or dissatisfied
4818,satisfied
4819,satisfied
4820,neutral or dissatisfied
4821,satisfied
4822,neutral or dissatisfied
4823,satisfied
4824,neutral or dissatisfied
4825,satisfied
4826,satisfied
4827,satisfied
4828,satisfied
4829,satisfied
